Family,Taxa,Genus,Species,Common name  ,WRA score  ,WRA rating,WRA designation,Date  ,Filename,
Caprifoliaceae,Abelia x grandiflora,Abelia,x grandiflora,glossy abelia,-13,Low Risk,L (HPWRA),01/06/2004,Abelia x grandiflora.xls,
Malvaceae,Abelmoschus manihot,Abelmoschus,manihot,"bele, manioc hibiscus",1,Low Risk,L (HPWRA),04/12/2012,Abelmoschus manihot.pdf,
Pinaceae,Abies concolor,Abies ,concolor,"silver fir, white fir",1,Evaluate,Evaluate,16/01/2015,Abies concolor.pdf,
Pinaceae,Abies fraseri,Abies,fraseri,Fraser fir,3,Evaluate,Evaluate,22/08/2012,Abies fraseri.pdf,
Pinaceae,Abies grandis,Abies,grandis,grand fir,1,Evaluate,Evaluate,24/05/2012,Abies grandis.pdf,
Pinaceae,Abies guatemalensis,Abies,guatemalensis,"Guatemalan fir, abeto de Guatemala",-2,Low Risk,L (HPWRA),13/03/2012,Abies guatemalensis.pdf,
Pinaceae,Abies nordmanniana,Abies,nordmanniana,"Nordmann fir, Turkey fir",2,Evaluate,Evaluate,20/08/2012,Abies nordmanniana.pdf,
Pinaceae,Abies procera,Abies,procera,noble fir,1,Evaluate,Evaluate,22/05/2012,Abies procera.pdf,
Pinaceae,Abies religiosa,Abies,religiosa,"oyamel, sacred fir",-2,Low Risk,L (HPWRA),08/03/2012,Abies religiosa.pdf,
Malvaceae,Abutilon grandifolium,Abutilon ,grandifolium,hairy abutilon,10,High Risk,H (HPWRA),24/09/2014,Abutilon grandifolium.pdf,
Fabaceae,Acacia angustissima,Acacia,angustissima,"fern acacia, prairie acacia, Acaciella",9,High Risk,H (HPWRA),28/01/2016,Acacia angustissima.pdf,
Fabaceae,Acacia auriculiformis,Acacia ,auriculiformis,Darwin black wattle,13,High Risk,H (HPWRA),07/10/2002,Acacia auriculiformis.xls,
Fabaceae,Acacia cochliacantha,Acacia ,cochliacantha,boat thorn acacia,10,High Risk,H (HPWRA),07/03/2011,Acacia cochliacantha.pdf,
Fabaceae,Acacia confusa,Acacia,confusa,Formosan koa,10,High Risk,H (Hawaii),07/10/2002,Acacia confusa.xls,
Fabaceae,Acacia crassicarpa,Acacia ,crassicarpa,northern wattle,7,High Risk,H (HPWRA),30/04/2004,Acacia crassicarpa.xls,
Fabaceae,Acacia cyclops,Acacia,cyclops,coastal wattle,15,High Risk,H (HPWRA),29/08/2014,Acacia cyclops.pdf,
Fabaceae,Acacia dealbata,Acacia,dealbata,"silver wattle, mimosa",22,High Risk,H (HPWRA),15/05/2012,Acacia dealbata.pdf,
Fabaceae,Acacia glaucoptera,Acacia ,glaucoptera,"clay wattle, flat wattle",-1,Low Risk,L (HPWRA),14/07/2016,Acacia glaucoptera.pdf,
Fabaceae,Acacia holosericea,Acacia ,holosericea,candelabra wattle,4,Evaluate,Evaluate,23/11/2008,Acacia holosericea.xls,
Fabaceae,Acacia insuavis,Acacia ,insuavis,"cha-om, pak la",5,Evaluate,Evaluate,08/03/2011,Acacia insuavis.pdf,
Fabaceae,Acacia karroo,Acacia ,karroo,karroothorn,20,High Risk,H (HPWRA),23/01/2015,Acacia karroo.pdf,
Fabaceae,Acacia longifolia,Acacia ,longifolia,Sydney goldern wattle,10,High Risk,H (HPWRA),30/01/2004,Acacia longifolia.xls,
Fabaceae,Acacia mangium,Acacia ,mangium,mangium,8,High Risk,H (HPWRA),02/11/2006,Acacia mangium.xls,
Fabaceae,Acacia mearnsii,Acacia ,mearnsii,black wattle,15,High Risk,H (Hawaii),11/02/2003,Acacia mearnsii.xls,
Fabaceae,Acacia melanoxylon,Acacia ,melanoxylon,Australian blackwood,12,High Risk,H (HPWRA),07/10/2002,Acacia melanoxylon.xls,
Fabaceae,Acacia nilotica,Acacia ,nilotica,gum arabic tree,14,High Risk,H (HPWRA),11/02/2003,Acacia nilotica.xls,
Fabaceae,Acacia parramattensis,Acacia ,parramattensis,Parramatta green wattle,9,High Risk,H (HPWRA),30/04/2004,Acacia parramattensis.xls,
Fabaceae,Acacia pendula,Acacia,pendula,"weeping myall, silver leaf boree, myall acacia",8,High Risk,H (HPWRA),29/12/2017,Acacia pendula.pdf,
Fabaceae,Acacia podalyriifolia,Acacia ,podalyriifolia,Queensland silver wattle,12,High Risk,H (HPWRA),09/06/2010,Acacia podalyriifolia.pdf,
Fabaceae,Acacia pycnantha,Acacia ,pycnantha,"broadleaf wattle, golden wattle",16,High Risk,H (HPWRA),14/04/2011,Acacia pycnantha.xls,
Fabaceae,Acacia retinodes,Acacia ,retinodes,water wattle,8,High Risk,H (HPWRA),16/06/2010,Acacia retinodes.pdf,
Fabaceae,Acacia robusta,Acacia,robusta,"splendid acacia, ankle thorn",7,High Risk,H (HPWRA),09/04/2012,Acacia robusta.pdf,
Fabaceae,Acacia saligna,Acacia ,saligna,"Port Jackson wattle, golden wreath wattle",17,High Risk,H (HPWRA),22/07/2011,Acacia saligna.pdf,
