Species
Albizia lebbeck
Alocasia macrorrhiza
Alocasia plumbea
Alysicarpus ovalifolius
Alysicarpus vaginalis
Amaranthus viridis
Amphineuron opulentum
Andropogon bicornis
Araucaria columnaris
Araucaria heterophylla
Asclepias curassavica
Asparagus plumosus
Averrhoa bilimbi
Bambusa vulgaris
Bidens pilosa
Bothriochloa bladhii
Bougainvillea spectabilis
Brachiaria subquadripara
Breynia disticha
Buchnera hispida
Bulbostylis puberula
Caladium bicolor
Calopogonium mucunoides
Canavalia rosea
Cassytha filiformis
Catharanthus roseus
Ceiba pentandra
Cenchrus echinatus
Centella asiatica
Cerbera manghas
Chloris barbata
Chlorophytum comosum
Cleome rutidosperma
Cleome viscosa
Codiaeum variegatum
Commelina benghalensis
Commelina diffusa
Conyza canadensis
Corchorus aestuans
Cordyline fruticosa
Crinum asiaticum
Crinum latifolium
Crotalaria pallida
Croton hirtus
Cynodon dactylon
Cyperus compressus
Cyperus difformis
Cyperus dubius
Cyperus eragrostis
Cyperus iria
Cyperus ligularis
Cyperus rotundus
Cyperus sphacelatus
Cyperus surinamensis
Dactyloctenium ctenoides
Delonix regia
Dentella repens
Desmodium triflorum
Dichanthium annulatum
Digitaria horizontalis
Digitaria longiflora
Digitaria setigera
Dodonaea viscosa
Dracaena fragrans
Dracaena marginata
Eclipta prostrata
Eleusine indica
Enterolobium cyclocarpum
Epipremnum pinnatum
Episcia cupreata
Eragrostis subaequiglumis
Ergrostis tenella
Eriochloa procera
Erythrina variegata
Eugenia javanica
Euphorbia cyathophora
Euphorbia heterophylla
Euphorbia hirta
Euphorbia hypericifolia
Euphorbia prostrata
Euphorbia stoddartii
Eustachys petraeus
Ficus benghalensis
Ficus nautarum
Ficus religiosa
Gaillardia pulchella
Gyrocarpus americanus
Helianthus annuus
Heliotropium indicum
Heliotropium ovalifolium
Hemigraphis alternata
Hibiscus rosa-sinensis
Hibiscus tiliaceus
Hippeastrum puniceum
Hymenocallis littoralis
Hypoestes verticillaris
Impatiens balsamina
Indigofera hirsuta
Ipomoea aquatica
Ipomoea pes-tigridis
Ipomoea triloba
Ipomoea macrantha
Ixora coccinea
Kalachoe pinnata
Kyllinga brevifolia
Kyllinga nemoralis
Kyllinga polyphylla
Lantana camara
Laurentia longiflora
Lemna aequinoctialis
Leptochloa uninervia
Leucaena leucocephala
Lolium perenne
Luffa acutangula
Lycopersicon esculentum
Macroptilium lathyroides
Malvastrum coromandelianum
Manilkara zapota
Mecardonia procumbens
Melinis repens
Mikania micrantha
Mimosa pudica
Mimusops coriacea
Mirabilis jalapa
Moringa oleifera
Morus alba
Nephrolepis hirsutula
Nerium oleander
Oldenlandia corymbosa
Pandanus tectorius
Panicum maximum
Paspalum nutans
Paspalum vaginatum
Passiflora suberosa
Pedilanthus tithymaloides
Pennisetum polystachyon
Pentas lanceolata
Phyllanthus maderaspatensis
Phyllanthus urinaria
Pilea microphylla
Pipturus argenteus
Pithecellobium dulce
Pithecellobium saman
Pithecellobium unguis-cati
Plantago major
Pluchea carolinensis
Pteris tripartita
Pteris vittata
Pycreus polystachyos
Rhoeo spathacea
Ricinus communis
Rivina humilis
Roystonea regia
Sansevieria trifasciata
Scadoxus multiflorus
Schizachyrium condensatum
Scoparia dulcis
Senna occidentalis
Sesbania bispinosa
Sesbania grandiflora
Sida acuta
Solanum anguivi
Solanum nigrum
Sorghum halepense
Spermacoce assurgens
Spermacoce hispida
Sporobolus pyramidalis
Sporobolus virginicus
Stachytarpheta jamaicensis
Stachytarpheta utricifolia
Stenotaphrum dimidiatum
Striga asiatica
Synedrella nodiflora
Syngonium angustatum
Tabebuia pallida
Tamarindus indica
Terminalia catappa
Thuja orientalis
Tradescantia zebrina
Tridax procumbens
Triphasia trifolia
Turnera ulmifolia
Typha domingensis
Vernonia cinerea
Vernonia grandis
Waltheria indica
Wollastonia biflora
Ximenia americana
Zephyranthes rosea
Zingiber spectabile
Zinnia elegans
Ziziphus mauritiana
