name,source,Af,Am,As,Aw,Any_A,Cfa,Cfb,Cs,Cw,Notes
Acacia dealbata,CyprusLongList,1,,,,1,1,1,1,1,Mainly Mediterranean
Acacia melanoxylon,EU_GB_combined,1,,,,1,1,1,1,,
Albizia lebbeck,EULongList,1,,,1,1,1,,1,,Mainly Aw
Alternanthera philoxeroides,CyprusLongList,1,1,,1,1,1,1,1,,in carib
Alternanthera sessilis,CyprusLongList,1,,,1,1,1,1,1,,
Ammannia coccinea,CyprusLongList,1,,1,1,1,1,,1,,
Artocarpus heterophyllus,EULongList,1,1,1,1,1,1,,,1,
Austrocylindropuntia subulata,CyprusLongList,,1,,1,1,,,1,1,"Mostly Cs, Cw"
Azolla filiculoides,CyprusLongList,1,1,1,1,1,1,1,1,,
Azolla mexicana,CyprusLongList,1,1,,1,1,1,1,1,1,
Baccharis halimifolia,CyprusLongList,,,,1,1,1,1,,,seems to be on cuba and bermuda; mainly Cfa-b
Bacopa monnieri,CyprusLongList,1,1,1,1,1,1,1,1,1,"broad range. Mainly americas, tropics and subtropics"
Bartlettina sordida,EULongList,1,1,,1,1,1,1,1,,mainly mexico
Begonia cucullata,EULongList,1,1,1,1,1,1,,1,,"mainly Brazil, S"
Berberis glaucocarpa,EULongList,,,,1,1,,1,,1,in Cayman?
Brunfelsia uniflora,EULongList,1,1,1,1,1,1,,,,
Buddleja stachyoides,EULongList,,,1,1,1,1,,,1,
Calotropis procera,EULongList,1,,1,1,1,,,1,1,
Camellia sinensis,EULongList,1,1,,1,1,1,,1,1,
Canavalia cathartica,EULongList,1,,,1,1,,,,1,
Cardiospermum grandiflorum,CyprusLongList,1,1,,1,1,1,1,1,1,
Casuarina equisetifolia,EULongList,1,1,1,1,1,1,1,1,,
Cayratia japonica ,EULongList,1,1,,1,1,1,,1,1,
Cenchrus spinifex,CyprusLongList,,1,,1,1,1,1,1,,
Centrosema virginianum,EULongList,1,1,1,1,1,1,,,1,
Cestrum aurantiacum,EULongList,,1,,1,1,1,,1,1,
Cestrum nocturnum,EULongList,1,1,1,1,1,1,1,1,1,
Chromolaena odorata,CyprusLongList,1,1,1,1,1,1,,,,
Cinnamomum camphora,CyprusLongList,,1,,,1,1,1,1,1,
Coreopsis lanceolata,EULongList,1,,,1,1,1,1,1,,
Cortaderia jubata,CyprusLongList,1,1,,,1,1,1,1,,
Crinum asiaticum,EULongList,1,,,1,1,1,1,,1,
Crotalaria juncea,EULongList,1,,1,1,1,1,,,1,
Cryptostegia grandiflora,CyprusLongList,1,1,1,1,1,1,,,1,
Cuscuta suaveolens,CyprusLongList,,,1,1,1,1,1,1,,
Cyperus esculentus,CyprusLongList,,1,,1,1,1,1,1,1,
Cyperus michelianus,CyprusLongList,,1,,1,1,1,1,1,,
Debregeasia longifolia,EULongList,1,,,1,1,1,1,,1,
Delairea odorata,CyprusLongList,1,1,,,1,1,1,1,,
Digitaria ciliaris,CyprusLongList,1,1,1,1,1,1,1,1,,
