Species Name,"Organism
Type",Synonyms,Common Names,Broad Habitat,Exotic in,Invasive in,Main Reference
Abrus precatorius,Plant - Climber,,Rosary pea,Terrestrial,Bahamas Islands;Cayman Islands;Puerto Rico;US Virgin Islands;,Bahamas Islands;Puerto Rico;US Virgin Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia aulacocarpa,Plant - Tree,,,Terrestrial,Puerto Rico;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia auriculiformis,Plant - Tree,,Northern black wattle (ISC),Terrestrial,Bahamas Islands;Cuba;Haiti;Jamaica;St. Vincent- Grenadines;Trinidad-Tobago;,Bahamas;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia crassicarpa,Plant - Tree,,,Terrestrial,Dominican Republic;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia decurrens,Plant - Tree,,Green wattle (ISC),Terrestrial,Haiti;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia farnesiana,Plant - Tree,,"Aroma (Puerto Rico);Cashia (Puerto Rico);Rayo
(Puerto Rico);Sweet Acadia (USA);",Terrestrial,"Guadeloupe;Martinique;Antigua-Barbuda;Bahamas;Barbados;Cayman
Islands;Cuba;Dominica;Grenada;Jamaica;Montserrat;Puerto Rico;Anguilla;",Puerto Rico;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia holosericea,Plant - Tree,,,Terrestrial,Cuba;Dominican Republic;Haiti;Jamaica;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia leptocarpa,Plant - Tree,,,Terrestrial,Haiti;Montserrat;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia longifolia,Plant - Tree,,Golden wattle (ISC),,Dominican Republic;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Acacia mangium,Plant - Tree,,Acacia;,Terrestrial,Cuba;Puerto Rico;Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia mearnsii,Plant -  Tree,,Black wattle,,Jamaica;,,"CABI,2011. Acacia mearnsii. In: Invasive Species Compendium.
Wallingford, UK: CAB International. http://www.cabi.org/isc."
Acacia melanoxylon,Plant - Tree,,Australian Blackwood (ISC),Terrestrial,Haiti;Venezuela;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia neriifolia,Plant - Tree,,,Terrestrial,Haiti;Puerto Rico;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia nilotica,Plant - Tree,,Gum Arabic Tree(ISC),Terrestrial,"Caribbean;Jamaica;Antigua-Barbuda;Anguilla;Puerto Rico;Martinique;
Guadeloupe;Bahamas;Barbados;Cuba;Grenada;Monsterrat;St. Lucia;Sint
Maarten;US Virgin Islands;",Anguilla;Antigua-Barbuda;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia polyacantha,Plant - Tree,,,Terrestrial,"Antigua-Barbuda;Barbados;Grenada;Guadeloupe;Jamaica;Puerto Rico;St.
Vincent;",,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Acacia polyacantha,Plant - Tree,,,Terrestrial,"Antigua-Barbuda;Barbados;Grenada;Guadeloupe;Jamaica;Puerto Rico;St.
Vincent;",,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
