"species","country_at_risk"
"Abrus precatorius","AI"
"Acacia mangium","AI"
"Acacia spp","AI"
"Adenanthera pavonina","AI"
"Ageratina adenophora","AI"
"Albizia procera","AI"
"Aleurites fordii","AI"
"Aleurites moluccana","AI"
"Alpinnia allughas","AI"
"Alternanthera philoxeroides","AI"
"Alysicarpus vaginalis","AI"
"Anredera cordifolia","AI"
"Ardisia solanacea","AI"
"Artocarpus altilis","AI"
"Arundo donax","AI"
"Azadirachta indica","AI"
"Bambusa vulgaris","AI"
"Barringtonia asiatica","AI"
"Bauhinia monandra","AI"
"Bertholettia excelsa","AI"
"Boussingaultia leptostachys","AI"
"Brachiara decumbens","AI"
"Brachiaria arracta","AI"
"Bromus madritensis","AI"
"Bromus rigidus","AI"
"Buddleja davidii","AI"
"Calliandra calothyrsus","AI"
"Calotropis procera","AI"
"Cardamine flexuosa","AI"
"Cassia javanica","AI"
"Cherax quadricarinatus","AI"
"Cinnamomum camphora","AI"
"Cinnamomum zeylanicum","AI"
"Cleome gynandra","AI"
"Cleome viscosa","AI"
"Clitoria fairchildiana","AI"
"Coffea arabica","AI"
"Echinochloa crus-galli","AI"
"Eichhornia crassipes","AI"
"Eleusine indica","AI"
"Emilia coccinea","AI"
"Emilia fosbergii","AI"
"Emilia sonchifolia","AI"
"Eugenia uniflora","AI"
"Eupatorium adenophorum","AI"
"Flemingia strobilifera","AI"
"Fragaria vesca","AI"
"Gaillardia pulchella","AI"
"Grateloupia turuturu","AI"
"Grevillea robusta","AI"
"Haematoxylum campechianum","AI"
"Halophila stipulacea","AI"
"Hedychium coccineum","AI"
"Hedychium coronarium","AI"
"Hedychium gardnerianum","AI"
"Heteropogon contortus","AI"
"Hydrilla verticillata","AI"
"Hyparrhenia rufa","AI"
"Indigofera jamaicensis","AI"
"Ipomoea aquatica","AI"
"Ischaemum rugosum","AI"
"Lantana camara","AI"
"Ligustrum sinense","AI"
"Lonicera japonica","AI"
"Ludwigia peruviana","AI"
"Lygodium japonicum","AI"
"Maesopsis eminii","AI"
"Malaleuca spp","AI"
"Malva rotundifolia","AI"
"Mangifera indica","AI"
"Melaleuca quinquenervia","AI"
"Melicoccus bijugatus","AI"
"Melinis minutiflora","AI"
"Merremia tuberosa","AI"
"Miconia calvescens","AI"
"Microstegium vimineum","AI"
