"scientificName","order","matchedname","authority","country_at_risk"
"Acanthospermum hispidum DC.","Asterales","Acanthospermum hispidum","DC.","AI"
"Aeschynomene villosa Poir.","Fabales","Aeschynomene villosa","Poir.","AI"
"Allamanda cathartica L.","Gentianales","Allamanda cathartica","L.","AI"
"Andropogon bicornis L.","Poales","Andropogon bicornis","L.","AI"
"Annona reticulata L.","Magnoliales","Annona reticulata","L.","AI"
"Antigonon leptopus Hook. & Arn.","Caryophyllales","Antigonon leptopus","Hook. & Arn.","AI"
"Brassica juncea (L.) Czern.","Brassicales","Brassica juncea","(L.) Czern.","AI"
"Calliandra surinamensis Benth.","Fabales","Calliandra surinamensis","Benth.","AI"
"Calopogonium mucunoides Desv.","Fabales","Calopogonium mucunoides","Desv.","AI"
"Capsicum annuum L.","Solanales","Capsicum annuum","L.","AI"
"Capsicum frutescens L.","Solanales","Capsicum frutescens","L.","AI"
"Carica papaya L.","Brassicales","Carica papaya","L.","AI"
"Cedrela odorata L.","Sapindales","Cedrela odorata","L.","AI"
"Cissampelos pareira L.","Ranunculales","Cissampelos pareira","L.","AI"
"Citrus medica L.","Sapindales","Citrus medica","L.","AI"
"Cosmos sulphureus Cav.","Asterales","Cosmos sulphureus","Cav.","AI"
"Crepis occidentalis Nutt.","Asterales","Crepis occidentalis","Nutt.","AI"
"Crotalaria micans Link","Fabales","Crotalaria micans","Link","AI"
"Cyperus alopecuroides Rottb.","Poales","Cyperus alopecuroides","Rottb.","AI"
"Cyperus alternifolius L.","Poales","Cyperus alternifolius","L.","AI"
"Cyperus sphacelatus Rottb.","Poales","Cyperus sphacelatus","Rottb.","AI"
"Dactylis glomerata L.","Poales","Dactylis glomerata","L.","AI"
"Digitaria ciliaris (Retz.) Koeler","Poales","Digitaria ciliaris","(Retz.) Koeler","AI"
"Dioscorea alata L.","Dioscoreales","Dioscorea alata","L.","AI"
"Eleocharis retroflexa (Poir.) Urb.","Poales","Eleocharis retroflexa","(Poir.) Urb.","AI"
"Eragrostis amabilis (L.) Wight & Arn.","Poales","Eragrostis amabilis","(L.) Wight & Arn.","AI"
"Euphorbia cotinifolia L.","Malpighiales","Euphorbia cotinifolia","L.","AI"
"Fimbristylis dichotoma (L.) Vahl","Poales","Fimbristylis dichotoma","(L.) Vahl","AI"
"Hibiscus rosa-sinensis L.","Malvales","Hibiscus rosa-sinensis","L.","AI"
"Ipomoea carnea Jacq.","Solanales","Ipomoea carnea","Jacq.","AI"
"Ipomoea hederacea Jacq.","Solanales","Ipomoea hederacea","Jacq.","AI"
"Ipomoea indica (Burm.) Merr.","Solanales","Ipomoea indica","(Burm.) Merr.","AI"
"Lathyrus sativus L.","Fabales","Lathyrus sativus","L.","AI"
"Malachra fasciata Jacq.","Malvales","Malachra fasciata","Jacq.","AI"
"Mikania micrantha Kunth","Asterales","Mikania micrantha","Kunth","AI"
"Mimosa pudica L.","Fabales","Mimosa pudica","L.","AI"
"Morinda citrifolia L.","Gentianales","Morinda citrifolia","L.","AI"
"Moringa oleifera Lam.","Brassicales","Moringa oleifera","Lam.","AI"
"Mucuna pruriens (L.) DC.","Fabales","Mucuna pruriens","(L.) DC.","AI"
"Nerium oleander L.","Gentianales","Nerium oleander","L.","AI"
"Opuntia stricta (Haw.) Haw.","Caryophyllales","Opuntia stricta","(Haw.) Haw.","AI"
"Oxalis debilis Kunth","Oxalidales","Oxalis debilis","Kunth","AI"
"Passiflora edulis Sims","Malpighiales","Passiflora edulis","Sims","AI"
"Physalis pubescens L.","Solanales","Physalis pubescens","L.","AI"
"Pistia stratiotes L.","Alismatales","Pistia stratiotes","L.","AI"
"Plumbago auriculata Lam.","Caryophyllales","Plumbago auriculata","Lam.","AI"
"Portulaca pilosa L.","Caryophyllales","Portulaca pilosa","L.","AI"
"Portulaca quadrifida L.","Caryophyllales","Portulaca quadrifida","L.","AI"
"Quercus ilex L.","Fagales","Quercus ilex","L.","AI"
"Ruscus aculeatus L.","Asparagales","Ruscus aculeatus","L.","AI"
"Salvia coccinea Buc'hoz ex Etl.","Lamiales","Salvia coccinea","Buc'hoz ex Etl.","AI"
"Selaginella plana (Desv. ex Poir.) Hieron.","Selaginellales","Selaginella plana","(Desv. ex Poir.) Hieron.","AI"
"Sida rhombifolia L.","Malvales","Sida rhombifolia","L.","AI"
"Solanum capsicoides All.","Solanales","Solanum capsicoides","All.","AI"
"Solanum tuberosum L.","Solanales","Solanum tuberosum","L.","AI"
"Stachytarpheta cayennensis (Rich.) Vahl","Lamiales","Stachytarpheta cayennensis","(Rich.) Vahl","AI"
"Syngonium podophyllum Schott","Alismatales","Syngonium podophyllum","Schott","AI"
"Syzygium cumini (L.) Skeels","Myrtales","Syzygium cumini","(L.) Skeels","AI"
