"","Species.Name","Organism.Type","Broad.Habitat","status","country","iso2code"
"1","Passiflora edulis","Plant - Climber","","exotic","ANGUILLA","AI"
"2","Melia azedarach","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"3","Albizia lebbeck","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"4","Pithecellobium dulce","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"5","Sansevieria hyacinthoides","Plant - Succulent","Terrestrial","exotic","ANGUILLA","AI"
"6","Salix humboldtiana","Plant - Tree","","exotic","ANGUILLA","AI"
"7","Portulaca oleracea","Plant - Succulent","","exotic","ANGUILLA","AI"
"8","Ziziphus mauritiana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"9","Bothriochloa pertusa","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"10","Ricinus communis","Plant - Shrub","Terrestrial","exotic","ANGUILLA","AI"
"11","Sorghum halepense","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"12","Thymophylla tenuiloba var.
tenuiloba","Plant - Herb","","exotic","ANGUILLA","AI"
"13","Sorghum halepense","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"14","Ricinus communis","Plant - Shrub","Terrestrial","exotic","ANGUILLA","AI"
"15","Oxalis corniculata","Plant - Herb","","exotic","ANGUILLA","AI"
"16","Asystasia gangetica","Plant - Herb","","exotic","ANGUILLA","AI"
"17","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","ANGUILLA","AI"
"18","Portulaca oleracea","Plant - Succulent","","exotic","ANGUILLA","AI"
"19","Bothriochloa pertusa","Plant - Grass","Terrestrial","invasive","ANGUILLA","AI"
"20","Psidium guajava","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"21","Spondias purpurea","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"22","Acacia farnesiana","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"23","Urochloa maxima","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"24","Leucaena leucocephala","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"25","Asparagus densiflorus","Plant - Herb","Terrestrial","exotic","ANGUILLA","AI"
"26","Tabebuia heterophylla","Plant - Tree","Terrestrial","exotic","ANGUILLA","AI"
"27","Bothriochloa pertusa","Plant - Grass","Terrestrial","invasive","ANGUILLA","AI"
"28","Bothriochloa pertusa","Plant - Grass","Terrestrial","exotic","ANGUILLA","AI"
"29","Antigonon leptopus","Plant - Climber","Terrestrial","exotic","ANGUILLA","AI"
