"scientificName","phylum","order","country"
"Psilotum nudum (L.) P.Beauv.","Tracheophyta","Psilotales","IO"
"Ipomoea violacea L.","Tracheophyta","Solanales","IO"
"Fimbristylis cymosa R.Br.","Tracheophyta","Poales","IO"
"Talipariti tiliaceum (L.) Fryxell","Tracheophyta","Malvales","IO"
"Euphorbia heterophylla L.","Tracheophyta","Malpighiales","IO"
"Sida acuta Burm.f.","Tracheophyta","Malvales","IO"
"Asplenium longissimum Bl.","Tracheophyta","Polypodiales","IO"
"Sida parvifolia DC.","Tracheophyta","Malvales","IO"
"Triumfetta procumbens G.Forst.","Tracheophyta","Malvales","IO"
"Passiflora pallida L.","Tracheophyta","Malpighiales","IO"
"Asplenium nidus L.","Tracheophyta","Polypodiales","IO"
"Cyperus ligularis L.","Tracheophyta","Poales","IO"
"Eleocharis geniculata (L.) Roem. & Schult.","Tracheophyta","Poales","IO"
"Guettarda speciosa L.","Tracheophyta","Gentianales","IO"
"Solanum americanum Mill.","Tracheophyta","Solanales","IO"
"Hippobroma longiflora (L.) G.Don","Tracheophyta","Asterales","IO"
"Stenotaphrum dimidiatum Brongn.","Tracheophyta","Poales","IO"
"Morinda citrifolia L.","Tracheophyta","Gentianales","IO"
"Cyanthillium cinereum (L.) H.Rob.","Tracheophyta","Asterales","IO"
"Spermacoce assurgens Spreng.","Tracheophyta","Gentianales","IO"
"Amblovenatum opulentum (Kaulf.) J.P.Roux","Tracheophyta","Polypodiales","IO"
"Strobilanthes alternata (Burm.f.) Moylan ex J.R.I.Wood","Tracheophyta","Lamiales","IO"
"Ectropothecium dealbatum Jaeger, 1880","Bryophyta","Hypnales","IO"
"Araucaria columnaris Hook.","Tracheophyta","Pinales","IO"
"Cyperus dubius Rottb.","Tracheophyta","Poales","IO"
"Zephyranthes rosea Lindl.","Tracheophyta","Asparagales","IO"
"Scadoxus multiflorus Raf.","Tracheophyta","Asparagales","IO"
"Capsicum annuum L.","Tracheophyta","Solanales","IO"
