"fullName","submittedname","acceptedname","sourceid","score","matchedname","authority","uri","phylum","order","country"
"Abrus precatorius L.","Abrus precatorius","Abrus precatorius","iPlant_TNRS","1","Abrus precatorius","L.","http://www.tropicos.org/Name/13023576",NA,NA,NA
"Achyranthes aspera L.","Achyranthes aspera","Achyranthes aspera","iPlant_TNRS","1","Achyranthes aspera","L.","http://www.tropicos.org/Name/1100001","Tracheophyta","Caryophyllales","IO"
"Acorus calamus L.","Acorus calamus","Acorus calamus","iPlant_TNRS","1","Acorus calamus","L.","http://www.tropicos.org/Name/2100006",NA,NA,NA
"Adenanthera pavonina L.","Adenanthera pavonina","Adenanthera pavonina","iPlant_TNRS","1","Adenanthera pavonina","L.","http://www.tropicos.org/Name/13024741",NA,NA,NA
"Agave americana L.","Agave americana","Agave americana","iPlant_TNRS","1","Agave americana","L.","http://www.tropicos.org/Name/1200371",NA,NA,NA
"Ageratum conyzoides L.","Ageratum conyzoides","Ageratum conyzoides","iPlant_TNRS","1","Ageratum conyzoides","L.","http://www.tropicos.org/Name/2700026","Tracheophyta","Asterales","IO"
"Allamanda cathartica L.","Allamanda cathartica","Allamanda cathartica","iPlant_TNRS","1","Allamanda cathartica","L.","http://www.tropicos.org/Name/1800001",NA,NA,NA
"Allium ampeloprasum L.","Allium ampeloprasum","Allium ampeloprasum","iPlant_TNRS","1","Allium ampeloprasum","L.","http://www.tropicos.org/Name/18400005",NA,NA,NA
"Alternanthera pungens Kunth","Alternanthera pungens","Alternanthera pungens","iPlant_TNRS","1","Alternanthera pungens","Kunth","http://www.tropicos.org/Name/1100414",NA,NA,NA
"Amaranthus cruentus L.","Amaranthus cruentus","Amaranthus cruentus","iPlant_TNRS","1","Amaranthus cruentus","L.","http://www.tropicos.org/Name/1100428",NA,NA,NA
"Amaranthus dubius Mart. ex Thell.","Amaranthus dubius","Amaranthus dubius","iPlant_TNRS","1","Amaranthus dubius","Mart. ex Thell.","http://www.tropicos.org/Name/1100005",NA,NA,NA
"Anacardium occidentale L.","Anacardium occidentale","Anacardium occidentale","iPlant_TNRS","1","Anacardium occidentale","L.","http://www.tropicos.org/Name/1300006",NA,NA,NA
"Ananas comosus (L.) Merr.","Ananas comosus","Ananas comosus","iPlant_TNRS","1","Ananas comosus","(L.) Merr.","http://www.tropicos.org/Name/4300877",NA,NA,NA
"Annona glabra L.","Annona glabra","Annona glabra","iPlant_TNRS","1","Annona glabra","L.","http://www.tropicos.org/Name/1600683",NA,NA,NA
