speciesName
Abrus precatorius
Achyranthes aspera
Acorus calamus
Adenanthera pavonina
Agave americana
Ageratum conyzoides
Allamanda cathartica
Allium ampeloprasum
Alternanthera pungens
Amaranthus cruentus
Amaranthus dubius
Anacardium occidentale
Ananas comosus
Annona glabra
Annona reticulata
Annona squamosa
Antigonon leptopus
Arachis hypogaea
Ardisia crenata
Ardisia elliptica
Artocarpus altilis
Asparagus densiflorus
Avena sterilis
Barleria cristata
Barleria prionitis
Boerhavia coccinea
Boerhavia diffusa
Boerhavia erecta
Bougainvillea glabra
Bryophyllum delagoense
Caesalpinia bonduc
Canavalia ensiformis
Capsicum annuum
Capsicum frutescens
Cardiospermum halicacabum
Carica papaya
Cascabela thevetia
Cassia fistula
Casuarina equisetifolia
Celosia argentea
Centrosema pubescens
Ceratopteris thalictroides
Cladium mariscus
Clitoria ternatea
Cocos nucifera
Coffea arabica
Colocasia esculenta
Colubrina asiatica
Colubrina asiatica
Cordia sebestena
Cordia subcordata
Crotalaria retusa
Cryptostegia grandiflora
Cucumis anguria
Cucumis melo
Cyperus articulatus
Cyperus flavidus
Cyperus haspan
Cyperus involucratus
Cyperus odoratus
Cyrtomium falcatum
Cyrtomium falcatum
Dactyloctenium aegyptium
Datura metel
Desmanthus virgatus
Digitaria sanguinalis
Dioscorea alata
Dioscorea bulbifera
Dolichandra unguis-cati
Echinochloa colona
Echinochloa colona
Eichhornia crassipes
Eleocharis geniculata
Elephantopus mollis
Eragrostis amabilis
Eriobotrya japonica
Eschscholzia californica
Eucalyptus camaldulensis
Eugenia uniflora
Eupatorium riparium
Euphorbia indica
Euphorbia thymifolia
Euphorbia tirucalli
Euphorbia tirucalli
Fimbristylis littoralis
Foeniculum vulgare
Gloriosa superba
Gloriosa superba
Glycine max
Gossypium hirsutum
Guettarda speciosa
Heliotropium curassavicum
Heliotropium supinum
Hoya australis
Hylocereus undatus
Hyparrhenia rufa
Hypoestes phyllostachya
Indigofera suffruticosa
Indigofera tinctoria
Ipomoea batatas
Ipomoea cairica
Ipomoea hederifolia
Ipomoea indica
Ipomoea quamoclit
Jatropha curcas
Jatropha podagrica
Justicia betonica
Lablab purpureus
Lantana montevidensis
Launaea sarmentosa
Mangifera indica
Manihot esculenta
Melastoma malabathricum
Melicoccus bijugatus
Mimosa pigra
Momordica balsamina
Momordica charantia
Morinda citrifolia
Muntingia calabura
Nephrolepis brownii
Nephrolepis cordifolia
Neyraudia reynaudiana
Nicotiana tabacum
Ochna pulchra
Ocimum americanum
Ocimum basilicum
Ocimum gratissimum
Opuntia humifusa
Parthenium hysterophorus
Paspalum paniculatum
Paspalum scrobiculatum
Passiflora edulis
Passiflora foetida
Passiflora laurifolia
Passiflora quadrangularis
Persea americana
Phaseolus lunatus
Phyla nodiflora
Phyllanthus amarus
Phyllanthus niruri
Phyllanthus tenellus
Physalis angulata
Physalis pubescens
Pityrogramma calomelanos
Portulaca oleracea
Portulaca pilosa
Portulaca quadrifida
Potamogeton nodosus
Prosopis juliflora
Prunus cerasifera
Psidium guajava
Punica granatum
Rubus rosifolius
Ruellia tuberosa
Russelia equisetiformis
Russelia equisetiformis
Sansevieria hyacinthoides
Scaevola taccada
Schefflera actinophylla
Schefflera arboricola
Schinus terebinthifolius
Setaria barbata
Sida rhombifolia
Sida spinosa
Sigesbeckia orientalis
Solanum americanum
Solanum dulcamara
Solanum torvum
Solanum torvum
Solanum tuberosum
Sorghum arundinaceum
Sorghum bicolor
Sphaerostephanos unitus
Sphagneticola trilobata
Syngonium podophyllum
Syngonium podophyllum
Syzygium cumini
Syzygium jambos
Tecoma stans
Tephrosia purpurea
Thunbergia grandiflora
Thunbergia grandiflora
Tribulus cistoides
Triumfetta rhomboidea
Typha angustifolia
Urena lobata
Urtica dioica
Vigna marina
Vigna trilobata
Vigna unguiculata
Vitex trifolia
Youngia japonica
Zea mays
Zephyranthes candida
Zostera marina
