"species","AI","BM","KY","MS","TC","VG","origin"
"Abelmoschus moschatus",0,0,0,0,0,0,"gbif"
"Abutilon grandifolium",0,0,0,0,0,0,"danielle"
"Abies lasiocarpa",0,0,0,0,0,0,"gbif"
"Abrus precatorius",1,0,1,1,1,1,"gbif"
"Abrus precatorius",0,0,0,0,0,0,"caribdb"
"Abutilon theophrasti",0,1,0,0,0,0,"gbif"
"Acacia auriculiformis",0,0,0,0,0,0,"caribdb"
"Acacia confusa",0,0,0,0,0,0,"danielle"
"Acacia dealbata",0,1,0,0,0,0,"gbif"
"Acacia decurrens",0,0,0,0,0,0,"gbif"
"Acacia farnesiana",0,0,0,0,0,0,"caribdb"
"Acacia longifolia",0,0,0,0,0,0,"gbif"
"Acacia mangium",0,0,0,0,0,0,"gbif"
"Acacia mangium",0,0,0,0,0,0,"caribdb"
"Acacia mearnsii",0,0,0,0,0,0,"gbif"
"Acacia nilotica",1,0,0,0,0,0,"caribdb"
"Acacia retinodes",0,0,0,0,0,0,"gbif"
"Acacia verticillata",0,0,0,0,0,0,"gbif"
"Acaena ovalifolia",0,0,0,0,0,0,"gbif"
"Acalypha alopecuroidea",0,0,1,0,0,0,"gbif"
"Acanthospermum australe",0,0,0,0,0,0,"gbif"
"Acanthospermum hispidum",0,0,0,1,0,1,"gbif"
"Acanthus mollis",0,0,0,0,0,0,"gbif"
"Acer negundo",0,0,0,0,0,0,"gbif"
"Acer platanoides",0,0,0,0,0,0,"gbif"
"Acer pseudoplatanus",0,0,0,0,0,0,"gbif"
"Acer saccharum",0,0,0,0,0,0,"gbif"
"Achillea millefolium",0,0,0,0,0,0,"gbif"
"Achyranthes aspera",1,0,1,1,1,1,"gbif"
"Achyranthes sicula",0,0,0,0,0,0,"gbif"
"Aconitum napellus",0,0,0,0,0,0,"gbif"
"Acroceras zizanioides",0,0,0,0,0,0,"gbif"
"Adenanthera pavonina",1,1,0,1,0,1,"gbif"
"Adenanthera pavonina",0,0,0,0,0,0,"caribdb"
"Adiantum hispidulum",0,0,0,0,0,0,"danielle"
"Adiantum raddianum",0,0,0,0,0,0,"danielle"
"Adiantum tenerum",0,0,0,0,0,0,"danielle"
"Aegilops triuncialis",0,0,0,0,0,0,"gbif"
"Aeschynomene americana",0,0,0,0,0,1,"gbif"
"Aeschynomene indica",0,0,0,0,0,0,"gbif"
"Aeschynomene rudis",0,0,0,0,0,0,"gbif"
"Aeschynomene villosa",0,0,0,1,0,0,"gbif"
"Aeschynomene virginica",0,0,0,0,0,0,"gbif"
"Aesculus glabra",0,0,0,0,0,0,"gbif"
"Aesculus hippocastanum",0,0,0,0,0,0,"gbif"
"Agapanthus praecox",0,0,0,0,0,0,"gbif"
"Agave americana",0,0,0,0,0,0,"gbif"
"Agave attenuata",0,0,0,0,0,0,"gbif"
"Agave sisalana",0,1,0,0,1,0,"gbif"
"Agave vivipara",1,0,0,0,0,0,"gbif"
"Ageratina adenophora",0,0,0,0,0,0,"caribdb"
"Ageratum conyzoides",1,0,0,1,1,1,"gbif"
"Ageratum houstonianum",0,0,0,0,0,0,"gbif"
"Agrimonia gryposepala",0,0,0,0,0,0,"gbif"
"Agrostis capillaris",0,0,0,0,0,0,"gbif"
"Agrostis gigantea",0,0,0,0,0,0,"gbif"
"Agrostis scabra",0,0,0,0,0,0,"gbif"
"Agrostis stolonifera",0,0,0,0,0,0,"gbif"
"Ailanthus altissima",0,0,0,0,0,0,"gbif"
"Aira praecox",0,0,0,0,0,0,"gbif"
"Ajuga reptans",0,0,0,0,0,0,"gbif"
"Albizia julibrissin",0,0,0,0,0,0,"gbif"
"Albizia lebbeck",1,1,0,0,0,0,"gbif"
"Albizia lebbeck",0,1,0,0,0,0,"caribdb"
"Albizia procera",0,0,0,0,0,0,"caribdb"
"Alcea rosea",0,1,0,0,0,0,"gbif"
