acceptedname,authority,uri,AI,BM,KY,MS,VG,TC,TC_discrep
Abelmoschus moschatus,Medik.,http://www.tropicos.org/Name/19601210,0,0,0,0,0,0,0
Abies lasiocarpa,(Hook.) Nutt.,http://www.tropicos.org/Name/24900140,0,0,0,0,0,0,0
Abrus precatorius,L.,http://www.tropicos.org/Name/13023576,1,0,1,1,1,1,0
Abutilon grandifolium,(Willd.) Sweet,http://www.tropicos.org/Name/19601222,0,0,0,0,0,0,0
Abutilon theophrasti,Medik.,http://www.tropicos.org/Name/19600012,0,1,0,0,0,0,0
Acacia auriculiformis,A. Cunn. ex Benth.,http://www.tropicos.org/Name/13023667,0,0,0,0,0,0,0
Acacia confusa,Merr.,http://www.tropicos.org/Name/13037318,0,0,0,0,0,0,0
Acacia dealbata,Link,http://www.tropicos.org/Name/13023839,0,1,0,0,0,0,0
Acacia decurrens,Willd.,http://www.tropicos.org/Name/13023843,0,0,0,0,0,0,0
Acacia farnesiana,(L.) Willd.,http://www.tropicos.org/Name/13023942,0,0,0,0,0,1,-1
Acacia longifolia,(Andrews) Willd.,http://www.tropicos.org/Name/13024183,0,0,0,0,0,0,0
Acacia mangium,Willd.,http://www.tropicos.org/Name/13024208,0,0,0,0,0,0,0
Acacia mearnsii,De Wild.,http://www.tropicos.org/Name/13037485,0,0,0,0,0,0,0
Acacia retinodes,Schltdl.,http://www.tropicos.org/Name/13024443,0,0,0,0,0,0,0
Acacia verticillata,(L'Hér.) Willd.,http://www.tropicos.org/Name/13024680,0,0,0,0,0,0,0
Acaena ovalifolia,Ruiz & Pav.,http://www.tropicos.org/Name/27801691,0,0,0,0,0,0,0
Acalypha alopecuroidea,Jacq.,http://www.tropicos.org/Name/12801950,0,0,1,0,0,1,-1
Acanthospermum australe,(Loefl.) Kuntze,http://www.tropicos.org/Name/2717091,0,0,0,0,0,0,0
Acanthospermum hispidum,DC.,http://www.tropicos.org/Name/2701604,0,0,0,1,1,0,0
Acanthus mollis,L.,http://www.tropicos.org/Name/102751,0,0,0,0,0,0,0
Acer negundo,L.,http://www.tropicos.org/Name/200001,0,0,0,0,0,0,0
Acer platanoides,L.,http://www.tropicos.org/Name/200035,0,0,0,0,0,0,0
Acer pseudoplatanus,L.,http://www.tropicos.org/Name/200008,0,0,0,0,0,0,0
Acer saccharum,Marshall,http://www.tropicos.org/Name/200039,0,0,0,0,0,0,0
Achillea millefolium,L.,http://www.tropicos.org/Name/2700015,0,0,0,0,0,0,0
Achyranthes aspera,L.,http://www.tropicos.org/Name/1100001,1,0,1,1,1,0,1
Achyranthes sicula,(L.) All.,http://www.tropicos.org/Name/50074813,0,0,0,0,0,0,0
Aconitum napellus,L.,http://www.tropicos.org/Name/27100830,0,0,0,0,0,0,0
Acroceras zizanioides,(Kunth) Dandy,http://www.tropicos.org/Name/25500095,0,0,0,0,0,0,0
Adenanthera pavonina,L.,http://www.tropicos.org/Name/13024741,1,1,0,1,1,0,0
Adiantum hispidulum,Sw.,http://www.tropicos.org/Name/26600896,0,0,0,0,0,0,0
Adiantum raddianum,C. Presl,http://www.tropicos.org/Name/26602685,0,0,0,0,0,0,0
Adiantum tenerum,Sw.,http://www.tropicos.org/Name/26602687,0,0,0,0,0,0,0
Aegilops triuncialis,L.,http://www.tropicos.org/Name/25500369,0,0,0,0,0,0,0
Aeschynomene americana,L.,http://www.tropicos.org/Name/13024832,0,0,0,0,1,0,0
Aeschynomene indica,L.,http://www.tropicos.org/Name/13024898,0,0,0,0,0,0,0
Aeschynomene rudis,Benth.,http://www.tropicos.org/Name/13024966,0,0,0,0,0,0,0
Aeschynomene villosa,Poir.,http://www.tropicos.org/Name/13007659,0,0,0,1,0,0,0
Aeschynomene virginica,"(L.) Britton, Sterns & Poggenb.",http://www.tropicos.org/Name/13007663,0,0,0,0,0,0,0
Aesculus glabra,Willd.,http://www.tropicos.org/Name/15500003,0,0,0,0,0,0,0
Aesculus hippocastanum,L.,http://www.tropicos.org/Name/15500008,0,0,0,0,0,0,0
Agapanthus praecox,Willd.,http://www.tropicos.org/Name/1200769,0,0,0,0,0,0,0
Agave americana,L.,http://www.tropicos.org/Name/1200371,0,0,0,0,0,1,-1
Agave attenuata,Salm-Dyck,http://www.tropicos.org/Name/1201703,0,0,0,0,0,0,0
Agave sisalana,Perrine ex Engelm.,http://www.tropicos.org/Name/50183169,0,1,0,0,0,1,0
Agave vivipara,L.,http://www.tropicos.org/Name/1202053,1,0,0,0,0,0,0
Ageratina adenophora,(Spreng.) R.M. King & H. Rob.,http://www.tropicos.org/Name/2709239,0,0,0,0,0,0,0
Ageratina adenophora,(Spreng.) R.M. King & H. Rob.,http://www.tropicos.org/Name/2709239,0,0,0,0,0,0,0
Ageratum conyzoides,L.,http://www.tropicos.org/Name/2700026,1,0,0,1,1,0,1
Ageratum houstonianum,Mill.,http://www.tropicos.org/Name/2700027,0,0,0,0,0,0,0
Agrimonia gryposepala,Wallr.,http://www.tropicos.org/Name/27801466,0,0,0,0,0,0,0
Agrostis capillaris,L.,http://www.tropicos.org/Name/25502134,0,0,0,0,0,0,0
Agrostis gigantea,Roth,http://www.tropicos.org/Name/25502394,0,0,0,0,0,0,0
Agrostis scabra,Willd.,http://www.tropicos.org/Name/25502982,0,0,0,0,0,0,0
Agrostis stolonifera,L.,http://www.tropicos.org/Name/25503111,0,0,0,0,0,0,0
Ailanthus altissima,(Mill.) Swingle,http://www.tropicos.org/Name/29400088,0,0,0,0,0,0,0
Aira praecox,L.,http://www.tropicos.org/Name/25500525,0,0,0,0,0,0,0
