"","country","standardName_1"
"1","bahamas islands","CAYMAN ISLANDS"
"2","cayman islands","CAYMAN ISLANDS"
"3","puerto rico","PUERTO RICO"
"4","us virgin islands","UNITED STATES VIRGIN ISLANDS"
"5","cuba","CUBA"
"6","haiti","HAITI"
"7","jamaica","JAMAICA"
"8","st. vincent- grenadines","SAINT VINCENT AND THE GRENADINES"
"9","trinidad-tobago","TRINIDAD AND TOBAGO"
"10","bahamas","BAHAMAS"
"11","dominican republic","DOMINICAN REPUBLIC"
"12","guadeloupe","GUADELOUPE"
"13","martinique","MARTINIQUE"
"14","antigua-barbuda","ANTIGUA AND BARBUDA"
"15","barbados","BARBADOS"
"16","dominica","DOMINICA"
"17","grenada","GRENADA"
"18","montserrat","MONTSERRAT"
"19","anguilla","ANGUILLA"
"20","venezuela","VENEZUELA"
"21","caribbean","ARUBA"
"22","monsterrat","MONTSERRAT"
"23","st. lucia","SAINT LUCIA"
"24","sint maarten","SINT MAARTEN"
"25","st. vincent","SAINT LUCIA"
"26","bermuda","BERMUDA"
"27","st. vincent-grenadines","SAINT VINCENT AND THE GRENADINES"
"28","cayman is","ALBANIA"
"29","dominicanrepublic","DOMINICAN REPUBLIC"
"30","st. kitts-nevis","SAINT KITTS AND NEVIS"
"31","st. vincent grenadines","SAINT VINCENT AND THE GRENADINES"
"32","guyana","GUYANA"
"33","suriname","SURINAME"
"34","curacao","CURACAO"
"35","bequia","BENIN"
"36","mustique","MARTINIQUE"
"37","saba","CUBA"
"38","st. eustatius","SAINT LUCIA"
"39","st. martin","SAINT MARTIN"
"40","union","REUNION"
"41","netherlands antilles","NETHERLANDS ANTILLES"
"42","trinidad- tobago","TRINIDAD AND TOBAGO"
"43","guadelope","GUADELOUPE"
"44","m artinique","MARTINIQUE"
"45","honduras","HONDURAS"
"46","mexico","MEXICO"
"47","florida","AFRICA"
"48","texas","NEPAL"
"49","louisiana","BOTSWANA"
"50","domincian republic","DOMINICAN REPUBLIC"
"51","turks-caicos","CURACAO"
"52","guadeloupe (marie galante island)",""
"53","st. martin (netherlands)","SAINT MARTIN"
"54","guadeloupe(marie galante island)",""
"55","antigua- barbuda","ANTIGUA AND BARBUDA"
"56","us virgin islands st. lucia",""
"57","antigua barbuda","ANTIGUA AND BARBUDA"
"58","tobago","TRINIDAD AND TOBAGO"
"59","barbados ","BARBADOS"
"60","st. kitts- nevis","SAINT KITTS AND NEVIS"
"61","bahamas islands(mayaguana island)",""
"62","british virgin islands","BRITISH VIRGIN ISLANDS"
"63","pueto rico","PUERTO RICO"
"64","aruba","ARUBA"
"65","commonwealth of dominica",""
"66","dominican republic dominican republic",""
"67","cuba cuba","ARUBA"
"68","antigua","ANTIGUA AND BARBUDA"
"69","st. kitts","SAINT LUCIA"
"70","guatemala","GUATEMALA"
"71","colombia","COLOMBIA"
"72","nicaragua","NICARAGUA"
"73","costa rica","COSTA RICA"
"74","panama","PANAMA"
"75","trinidad - tobago","TRINIDAD AND TOBAGO"
"76","puerto rico cuba","PUERTO RICO"
"77","puerto rico puerto rico",""
"78","st. lucia puerto rico",""
"79","us virgin islands (st.croix island",""
"80","st.thomas island) bahamas islands",""
"81","st.thomas island)","SOLOMON ISLANDS"
"82","curacao curacao","CURACAO"
"83","turks caicos","CURACAO"
"84","jamaica: jamaica:","AMERICAN SAMOA"
"85","jamaica jamaica","AMERICAN SAMOA"
"86","west indies","ESTONIA"
"87","us virgin islands puerto rico",""
"88","netherl ands antilles","NETHERLANDS ANTILLES"
"89","us virgin islands bahamas","UNITED STATES VIRGIN ISLANDS"
"90","dominican republic? puerto rico",""
"91","dominican republic?","DOMINICAN REPUBLIC"
"92","bahamas bahamas","BAHAMAS"
"93","us virgin islands antigua-barbuda",""
"94","cayman islands (grand cayman island)",""
"95","netherlands","NETHERLANDS"
"96","d ominican republic","DOMINICAN REPUBLIC"
"97","curaã§ao","CURACAO"
"98","turks- caicos islands","TURKS AND CAICOS ISLANDS"
"99","bahamasislands","ALAND ISLANDS"
"100","puerto rico antigua","PUERTO RICO"
"101","us virgin islands bahamas islands",""
"102","barbados barbados","BARBADOS"
"103","st. martin (france)","SAINT MARTIN"
