"","name","source","Af","Am","As","Aw","Any_A","Cfa","Cfb","Cs","Cw","Notes","TNRSacceptedname","new"
"1","Acacia dealbata","CyprusLongList",1,NA,NA,NA,1,1,1,1,1,"Mainly Mediterranean",NA,NA
"2","Acacia melanoxylon","EU_GB_combined",1,NA,NA,NA,1,1,1,1,NA,"","Acacia melanoxylon","Y"
"9","Albizia lebbeck","EULongList",1,NA,NA,1,1,1,NA,1,NA,"Mainly Aw",NA,NA
"10","Alternanthera philoxeroides","CyprusLongList",1,1,NA,1,1,1,1,1,NA,"in carib",NA,NA
"11","Alternanthera sessilis","CyprusLongList",1,NA,NA,1,1,1,1,1,NA,"","Alternanthera sessilis","Y"
"16","Ammannia coccinea","CyprusLongList",1,NA,1,1,1,1,NA,1,NA,"",NA,NA
"19","Andropogon virginicius","EULongList",1,NA,NA,NA,1,1,1,1,NA,"*Af: Hawaii only",NA,NA
"20","Andropogon virginicus","EU_GB_combined",1,NA,NA,NA,1,1,1,1,NA,"*Af: Hawaii only",NA,NA
"23","Artocarpus heterophyllus","EULongList",1,1,1,1,1,1,NA,NA,1,"","Artocarpus heterophyllus","Y"
"25","Austrocylindropuntia subulata","CyprusLongList",NA,1,NA,1,1,NA,NA,1,1,"Mostly Cs, Cw","Austrocylindropuntia subulata","Y"
"26","Azolla filiculoides","CyprusLongList",1,1,1,1,1,1,1,1,NA,"",NA,NA
"27","Azolla mexicana","CyprusLongList",1,1,NA,1,1,1,1,1,1,"","Azolla mexicana","Y"
"28","Baccharis halimifolia","CyprusLongList",NA,NA,NA,1,1,1,1,NA,NA,"seems to be on cuba and bermuda; mainly Cfa-b",NA,NA
"29","Bacopa monnieri","CyprusLongList",1,1,1,1,1,1,1,1,1,"broad range. Mainly americas, tropics and subtropics","Bacopa monnieri","Y"
"30","Bartlettina sordida","EULongList",1,1,NA,1,1,1,1,1,NA,"mainly mexico","Bartlettina sordida","Y"
"31","Begonia cucullata","EULongList",1,1,1,1,1,1,NA,1,NA,"mainly Brazil, S",NA,NA
"32","Berberis glaucocarpa","EULongList",NA,NA,NA,1,1,NA,1,NA,1,"in Cayman?","Berberis glaucocarpa","Y"
"36","Brunfelsia uniflora","EULongList",1,1,1,1,1,1,NA,NA,NA,"","Brunfelsia uniflora","Y"
"37","Buddleja stachyoides","EULongList",NA,NA,1,1,1,1,NA,NA,1,"","Buddleja stachyoides","Y"
"39","Calotropis procera","EULongList",1,NA,1,1,1,NA,NA,1,1,"",NA,NA
"40","Camellia sinensis","EULongList",1,1,NA,1,1,1,NA,1,1,"","Camellia sinensis","Y"
"41","Canavalia cathartica","EULongList",1,NA,NA,1,1,NA,NA,NA,1,"",NA,NA
"42","Cardiospermum grandiflorum","CyprusLongList",1,1,NA,1,1,1,1,1,1,"",NA,NA
"45","Casuarina equisetifolia","EULongList",1,1,1,1,1,1,1,1,NA,"",NA,NA
"47","Cayratia japonica ","EULongList",1,1,NA,1,1,1,NA,1,1,"","Cayratia japonica","Y"
"50","Cenchrus spinifex","CyprusLongList",NA,1,NA,1,1,1,1,1,NA,"","Cenchrus spinifex","Y"
"52","Centrosema virginianum","EULongList",1,1,1,1,1,1,NA,NA,1,"","Centrosema virginianum","Y"
"53","Cestrum aurantiacum","EULongList",NA,1,NA,1,1,1,NA,1,1,"",NA,NA
"54","Cestrum nocturnum","EULongList",1,1,1,1,1,1,1,1,1,"",NA,NA
"55","Chromolaena odorata","CyprusLongList",1,1,1,1,1,1,NA,NA,NA,"","Chromolaena odorata","Y"
"56","Cinnamomum camphora","CyprusLongList",NA,1,NA,NA,1,1,1,1,1,"",NA,NA
"59","Coreopsis lanceolata","EULongList",1,NA,NA,1,1,1,1,1,NA,"",NA,NA
"61","Cortaderia jubata","CyprusLongList",1,1,NA,NA,1,1,1,1,NA,"",NA,NA
"66","Crinum asiaticum","EULongList",1,NA,NA,1,1,1,1,NA,1,"","Crinum asiaticum","Y"
"67","Crotalaria juncea","EULongList",1,NA,1,1,1,1,NA,NA,1,"",NA,NA
"68","Cryptostegia grandiflora","CyprusLongList",1,1,1,1,1,1,NA,NA,1,"",NA,NA
"69","Cuscuta suaveolens","CyprusLongList",NA,NA,1,1,1,1,1,1,NA,"","Cuscuta suaveolens","Y"
"71","Cyperus esculentus","CyprusLongList",NA,1,NA,1,1,1,1,1,1,"",NA,NA
"72","Cyperus michelianus","CyprusLongList",NA,1,NA,1,1,1,1,1,NA,"","Cyperus michelianus","Y"
"73","Debregeasia longifolia","EULongList",1,NA,NA,1,1,1,1,NA,1,"","Debregeasia longifolia","Y"
"74","Delairea odorata","CyprusLongList",1,1,NA,NA,1,1,1,1,NA,"",NA,NA
"75","Digitaria ciliaris","CyprusLongList",1,1,1,1,1,1,1,1,NA,"",NA,NA
"76","Dioscorea bulbifera","EULongList",1,1,NA,1,1,1,NA,NA,1,"",NA,NA
"77","Dioscorea polystachya","EULongList",NA,1,NA,1,1,1,NA,NA,1,"mainly Cfa","Dioscorea polystachya","Y"
"82","Echinodorus cordifolius","EULongList",NA,NA,NA,1,1,1,NA,1,NA,"","Echinodorus berteroi","Y"
"83","Egeria densa","CyprusLongList",1,NA,1,1,1,1,1,1,NA,"",NA,NA
"86","Eichornia crassipes","CyprusLongList",1,1,1,1,1,1,1,1,1,"","Eichornia crassipes","Y"
"88","Eleagnus x ebbingei","CyprusLongList",1,1,NA,1,1,1,1,1,NA,"few tropical cases may be botanical garden records?","Eleagnus x submacrophylla","Y"
"91","Eragrostis pectinacea","CyprusLongList",1,NA,NA,1,1,1,1,1,NA,"","Eragrostis pectinacea","Y"
"92","Erigeron karvinskianus","CyprusLongList",NA,1,NA,1,1,1,1,1,NA,"",NA,NA
"94","Erythrina crista galli","EULongList",1,NA,NA,1,1,1,NA,1,1,"","Erythrina crista-galli","Y"
"103","Gardenia jasminoides","EULongList",1,1,NA,1,1,1,NA,NA,1,"","Gardenia jasminoides","Y"
"105","Gibasis pellucida","EULongList",NA,NA,NA,1,1,1,1,NA,1,"","Gibasis pellucida","Y"
"106","Glandularia peruviana","EULongList",1,NA,NA,1,1,1,1,NA,1,"Mostly Cf","Glandularia peruviana","Y"
"108","Gymnocoronis spilanthoides","EU_GB_combined",NA,1,NA,1,1,1,1,NA,NA,"","Gymnocoronis spilanthoides","Y"
"109","Heimia salicifolia","EULongList",NA,NA,NA,1,1,1,NA,1,1,"",NA,NA
"111","Heliotropium curassavicum","CyprusLongList",1,NA,NA,1,1,1,NA,1,NA,"",NA,NA
"113","Hibiscus mutabilis","EULongList",1,1,1,1,1,1,NA,1,1,"",NA,NA
"114","Homalanthus populifolius","EULongList",1,NA,NA,1,1,1,1,NA,NA,"","Homalanthus populifolius","Y"
"116","Hydrilla verticillata","EULongList",1,NA,NA,1,1,1,1,NA,1,"",NA,NA
"117","Hypericum hypericoides","EULongList",1,NA,NA,1,1,1,NA,NA,NA,"","Hypericum hypericoides","Y"
"121","Imperata cylindrica","EULongList",1,NA,NA,1,1,1,1,1,1,"","Imperata cylindrica","Y"
"122","Iris japonica","EULongList",1,NA,NA,NA,1,1,1,1,1,"*Few af records; botanical gardens at higher alts?","Iris japonica","Y"
"123","Jasminum simplicifolium","EULongList",NA,NA,NA,1,1,1,NA,NA,NA,"","Jasminum simplicifolium","Y"
"125","Kummerowia striata","EULongList",1,NA,NA,1,1,1,NA,1,1,"* from Hawaii","Kummerowia striata","Y"
"127","Leonurus sibiricus","EULongList",1,NA,NA,1,1,1,1,1,1,"","Leonurus japonicus","Y"
"129","Lespedeza cuneata","CyprusLongList",1,NA,NA,1,1,1,1,NA,1,"Lespedeza cuneata; *only tropical record is from Hawaii","Lespedeza cuneata","Y"
"130","Leucaena leucocephala","EULongList",1,1,1,1,1,1,NA,1,1,"",NA,NA
"131","Leucophyllum frutescens","EULongList",1,NA,1,1,1,1,NA,1,NA,"","Leucophyllum frutescens","Y"
"138","Limnobium spongia","CyprusLongList",1,NA,NA,1,1,1,NA,1,NA,"*not many tropical records","Limnobium spongia","Y"
"139","Lindernia dubia","CyprusLongList",NA,1,NA,NA,1,1,1,1,NA,"","Lindernia dubia","Y"
"140","Liriope muscari","EULongList",1,NA,NA,NA,1,1,NA,NA,1,"","Liriope muscari","Y"
"143","Lobelia cardinalis","EULongList",NA,NA,NA,1,1,1,1,NA,NA,"*Mexico only",NA,NA
"148","Lophostemon confertus","EULongList",NA,NA,NA,1,1,1,1,NA,NA,"","Lophostemon confertus","Y"
"149","Ludwigia peploides","CyprusLongList",1,NA,NA,1,1,1,1,1,NA,"","Ludwigia peploides","Y"
