"matchedname","authority","sourceid","uri","GBIF_id"
"Abelmoschus manihot","(L.) Medik.","iPlant_TNRS","http://www.tropicos.org/Name/19601203","3152706"
"Abelmoschus moschatus","Medik.","iPlant_TNRS","http://www.tropicos.org/Name/19601210","3152709"
"Abies balsamea","(L.) Mill.","iPlant_TNRS","http://www.tropicos.org/Name/24900050","2685383"
"Abies concolor","(Gordon & Glend.) Lindl. ex Hildebr.","iPlant_TNRS","http://www.tropicos.org/Name/24900136","2685580"
"Abies fraseri","(Pursh) Poir.","iPlant_TNRS","http://www.tropicos.org/Name/24900138","2685318"
"Abies grandis","(Douglas ex D. Don) Lindl.","iPlant_TNRS","http://www.tropicos.org/Name/24900139","2685361"
"Abies lasiocarpa","(Hook.) Nutt.","iPlant_TNRS","http://www.tropicos.org/Name/24900140","2685313"
"Fimbristylis ovata","(Burm. f.) Kral","iPlant_TNRS","http://www.tropicos.org/Name/9902300","2708407"
"Bulbostylis striatella","(C.B. Clarke) Lye","iPlant_TNRS","http://www.tropicos.org/Name/50332667","2719517"
"Abrus precatorius","L.","iPlant_TNRS","http://www.tropicos.org/Name/13023576","5348711"
"Abutilon grandifolium","(Willd.) Sweet","iPlant_TNRS","http://www.tropicos.org/Name/19601222","3152633"
"Abutilon molle","(Willd.) Sweet","iPlant_TNRS","http://www.tropicos.org/Name/19601222","3152633"
"Abutilon theophrasti","Medik.","iPlant_TNRS","http://www.tropicos.org/Name/19600012","3152614"
"Acacia","Mill.","iPlant_TNRS","http://www.tropicos.org/Name/40003076","2978223"
"Acacia abyssinica","Hochst. ex Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13023582","2981132"
"Acacia acatlensis","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13000010","8436839"
"Acacia alata","R. Br.","iPlant_TNRS","http://www.tropicos.org/Name/13023609","2980814"
"Acacia albida","Delile","iPlant_TNRS","http://www.tropicos.org/Name/13023613","2977376"
"Acacia rigidula","DC.","iPlant_TNRS","http://www.tropicos.org/Name/13000023","2980575"
"Acacia articulata","Ducke","iPlant_TNRS","http://www.tropicos.org/Name/13000038","2980365"
"Acacia asak","(Forssk.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13023655","9179259"
"Acacia atramentaria","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13000040","2980326"
"Acacia auriculiformis","A. Cunn. ex Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13023667","2981001"
"Acacia bahiensis","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13023678","2980928"
"Acacia baileyana","F. Muell.","iPlant_TNRS","http://www.tropicos.org/Name/13037159","2981303"
"Acacia berlandieri","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13000045","2980081"
"Acacia caesia","(L.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13023729","2979035"
"Acacia caffra","(Thunb.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13023730","2980613"
"Acacia catechu","(L. f.) Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13023753","2980865"
"Acacia chiapensis","Saff.","iPlant_TNRS","http://www.tropicos.org/Name/13000064","2979792"
"Acacia cochliacantha","Humb. & Bonpl. ex Willd.","iPlant_TNRS","http://www.tropicos.org/Name/13023780","8644651"
"Acacia spadicigera","Saff.","iPlant_TNRS","http://www.tropicos.org/Name/13000067","2980971"
"Acacia concinna","(Willd.) DC.","iPlant_TNRS","http://www.tropicos.org/Name/13023790","2980534"
"Acacia constricta","Benth.","iPlant_TNRS","http://www.tropicos.org/Name/13000069","2979621"
